date,bike_rides_daily,avgTemp,Season,month
2022-07-28,34261,26.7,summer,July
2022-07-29,33744,28.2,summer,July
2022-07-30,36298,26.7,summer,July
2022-07-31,33172,26.3,summer,July
2022-08-01,27610,23.1,summer,August
2022-08-02,33733,26.4,summer,August
2022-08-03,35251,27.6,summer,August
2022-08-04,33122,29.1,summer,August
2022-08-05,32015,29.3,summer,August
2022-08-06,33754,29.6,summer,August
2022-08-07,26551,29.600000000000005,summer,August
2022-08-08,29014,30.3,summer,August
2022-08-09,30117,31.3,summer,August
2022-08-10,33992,27.2,summer,August
2022-08-11,31094,26.6,summer,August
2022-08-12,34317,25.6,summer,August
2022-08-13,36520,23.1,summer,August
2022-08-14,31560,24.0,summer,August
2022-08-15,31136,24.3,summer,August
2022-08-16,34561,23.6,summer,August
2022-08-17,34223,23.6,summer,August
2022-08-18,34340,24.1,summer,August
2022-08-19,33862,26.3,summer,August
2022-08-20,36479,27.9,summer,August
2022-08-21,31405,25.3,summer,August
2022-08-22,24359,24.5,summer,August
2022-08-23,32979,25.9,summer,August
2022-08-24,34133,26.9,summer,August
2022-08-25,33534,28.1,summer,August
2022-08-26,30603,27.4,summer,August
2022-08-27,33490,27.8,summer,August
2022-08-28,30957,24.6,summer,August
2022-08-29,29948,26.0,summer,August
2022-08-30,31517,26.8,summer,August
2022-08-31,33990,25.6,summer,August
2022-09-01,36505,25.9,summer,September
2022-09-02,34862,21.7,summer,September
2022-09-03,32442,22.8,summer,September
2022-09-04,29561,25.3,summer,September
2022-09-05,28377,25.8,summer,September
2022-09-06,12324,23.3,summer,September
2022-09-07,33615,20.8,summer,September
2022-09-08,39841,21.8,summer,September
2022-09-09,39598,21.9,summer,September
2022-09-10,39648,23.6,summer,September
2022-09-11,19454,23.2,summer,September
2022-09-12,33288,22.4,summer,September
2022-09-13,35430,24.7,summer,September
2022-09-14,39028,22.9,summer,September
2022-09-15,38413,21.8,summer,September
2022-09-16,38993,19.6,summer,September
2022-09-17,38422,20.8,summer,September
2022-09-18,33773,23.4,summer,September
2022-09-19,30146,25.6,summer,September
2022-09-20,37653,23.2,summer,September
2022-09-21,38339,22.0,summer,September
2022-09-22,29203,21.8,summer,September
2022-09-23,32947,15.1,summer,September
2022-09-24,32498,14.5,summer,September
2022-09-25,25245,19.2,summer,September
2022-09-26,30716,19.4,summer,September
2022-09-27,33758,19.7,summer,September
2022-09-28,36409,17.2,summer,September
2022-09-29,35606,16.6,summer,September
2022-09-30,34018,14.5,summer,September
2022-10-01,20471,14.799999999999999,fall,October
2022-10-02,17833,15.2,fall,October
2022-10-03,17319,11.5,fall,October
2022-10-04,17890,10.3,fall,October
2022-10-05,23715,13.8,fall,October
2022-10-06,42247,17.6,fall,October
2022-10-07,42572,20.3,fall,October
2022-10-08,33899,13.9,fall,October
2022-10-09,32214,12.3,fall,October
2022-10-10,33217,15.799999999999999,fall,October
2022-10-11,38670,17.0,fall,October
2022-10-12,40198,17.9,fall,October
2022-10-13,25069,18.7,fall,October
2022-10-14,38290,15.7,fall,October
2022-10-15,39144,16.2,fall,October
2022-10-16,34223,16.1,fall,October
2022-10-17,30585,16.6,fall,October
2022-10-18,34487,12.6,fall,October
2022-10-19,34296,10.0,fall,October
2022-10-20,35536,11.1,fall,October
2022-10-21,36865,13.4,fall,October
2022-10-22,37371,14.4,fall,October
2022-10-23,22568,14.7,fall,October
2022-10-24,22516,14.1,fall,October
2022-10-25,33569,16.9,fall,October
2022-10-26,38503,18.3,fall,October
2022-10-27,39427,16.9,fall,October
2022-10-28,35828,11.3,fall,October
2022-10-29,35626,10.8,fall,October
2022-10-30,32403,12.5,fall,October
2022-10-31,33072,14.4,fall,October
2022-11-01,43740,16.9,fall,November
2022-11-02,49695,17.6,fall,November
2022-11-03,49531,15.7,fall,November
2022-11-04,50697,15.199999999999998,fall,November
2022-11-05,51805,19.4,fall,November
2022-11-06,43636,19.8,fall,November
2022-11-07,44775,21.3,fall,November
2022-11-08,40185,13.2,fall,November
2022-11-09,39235,8.7,fall,November
2022-11-10,45794,12.6,fall,November
2022-11-11,23118,16.4,fall,November
2022-11-12,47447,19.7,fall,November
2022-11-13,28424,12.9,fall,November
2022-11-14,31109,6.3,fall,November
2022-11-15,26981,4.900000000000001,fall,November
2022-11-16,32150,7.3,fall,November
2022-11-17,32810,5.7,fall,November
2022-11-18,30768,4.5,fall,November
2022-11-19,24594,2.8,fall,November
2022-11-20,18770,2.7,fall,November
2022-11-21,25560,1.1,fall,November
2022-11-22,30956,6.6,fall,November
2022-11-23,31108,9.4,fall,November
2022-11-24,15563,8.1,fall,November
2022-11-25,18042,10.0,fall,November
2022-11-26,24404,9.3,fall,November
2022-11-27,14415,10.7,fall,November
2022-11-28,30591,12.2,fall,November
2022-11-29,31442,5.4,fall,November
2022-11-30,22748,8.4,fall,November
2022-12-01,45642,5.7,winter,December
2022-12-02,46782,3.4,winter,December
2022-12-03,28336,10.6,winter,December
2022-12-04,39354,7.0,winter,December
2022-12-05,46154,5.4,winter,December
2022-12-06,33241,9.3,winter,December
2022-12-07,46547,13.799999999999999,winter,December
2022-12-08,56028,11.599999999999998,winter,December
2022-12-09,48253,5.3,winter,December
2022-12-10,39658,2.2,winter,December
2022-12-11,20564,3.3999999999999995,winter,December
2022-12-12,37456,1.6,winter,December
2022-12-13,41041,0.3,winter,December
2022-12-14,42202,1.7,winter,December
2022-12-15,27730,2.7,winter,December
2022-12-16,17909,6.2,winter,December
2022-12-17,37205,5.0,winter,December
2022-12-18,30269,3.1,winter,December
2022-12-19,34036,1.7,winter,December
2022-12-20,36566,1.9,winter,December
2022-12-21,37239,1.0,winter,December
2022-12-22,24783,3.8,winter,December
2022-12-23,16586,7.5,winter,December
2022-12-24,7331,-11.7,winter,December
2022-12-25,5908,-6.9,winter,December
2022-12-26,12241,-4.7,winter,December
2022-12-27,20903,-0.7,winter,December
2022-12-28,27658,3.4,winter,December
2022-12-29,32880,6.4,winter,December
2022-12-30,39522,9.3,winter,December
2022-12-31,19812,8.2,winter,December
